Epoch,Accuracy,Precision,Recall,F1,FPR,TP,TN,FP,FN,Loss
1,0.19039838157485217,0.13166913475777448,0.9155634010002942,0.2302286010209366,0.920107599193006,3112,1782,20523,287,0.0017309007343569167
2,0.22533457827575476,0.13335405657444824,0.883495145631068,0.23173084342927694,0.8749607711275499,3003,2789,19516,396,0.0016507958390985069
3,0.26785714285714285,0.1335551330798479,0.8267137393350985,0.2299603093416261,0.8173055368751401,2810,4075,18230,589,0.0015834724971745713
1,0.4760737628384687,0.17062845978508628,0.7816229116945107,0.2801090500882023,0.5697476735862562,2620,9617,12735,732,0.001267365190680807
2,0.5157952069716776,0.16756835794706829,0.6837708830548926,0.2691720493247211,0.5093951324266285,2292,10966,11386,1060,0.0012461624522465914
3,0.5585511982570807,0.16960079345400447,0.6121718377088305,0.2656138761245227,0.4494899785254116,2052,12305,10047,1300,0.0012181962770982358
1,0.5582399626517274,0.17097382886208876,0.6250749850029994,0.2685047993300264,0.45172105498435405,2084,12265,10105,1250,0.0012086000916114153
2,0.6075708061002179,0.17081017841474117,0.525494901019796,0.2578176734603782,0.3801966919982119,1752,13865,8505,1582,0.0011836013020735977
3,0.6529333955804544,0.16700441053760878,0.42021595680863827,0.23901731638659046,0.31238265534197585,1401,15382,6988,1933,0.0011636949971276505
